node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,PIPEDA,8,512,tier1_hospital,0.951,critical,50000
1,clinic_001,2000,tier_2,32,GDPR,2,64,tier2_hospital,0.914,standard,10000
2,research_center_002,20000,tier_3,256,GDPR,32,1024,research_center,0.989,standard,20000
3,mobile_unit_003,100,tier_1,4,local,2,64,mobile_unit,0.79,high,5000
4,edge_device_004,500,tier_2,4,GDPR,0,32,edge_device,0.73,standard,2000
5,hospital_005,10000,tier_1,32,local,16,512,tier1_hospital,0.98,standard,50000
6,clinic_006,1000,tier_2,16,HIPAA,2,64,tier2_hospital,0.953,critical,20000
7,research_center_007,20000,tier_3,128,GDPR,16,1024,research_center,0.985,critical,100000
8,mobile_unit_008,1000,tier_1,16,local,2,32,mobile_unit,0.896,high,1000
9,edge_device_009,100,tier_2,8,local,0,32,edge_device,0.728,critical,2000
10,hospital_010,2000,tier_1,128,HIPAA,4,512,tier1_hospital,0.969,critical,20000
11,clinic_011,1000,tier_2,16,PIPEDA,2,64,tier2_hospital,0.925,standard,5000
12,research_center_012,20000,tier_3,128,PIPEDA,8,256,research_center,0.992,critical,20000
13,mobile_unit_013,500,tier_1,4,GDPR,1,16,mobile_unit,0.758,high,5000
14,edge_device_014,50,tier_2,2,GDPR,0,16,edge_device,0.877,critical,2000
15,hospital_015,5000,tier_1,32,local,16,128,tier1_hospital,0.962,high,10000
16,clinic_016,1000,tier_2,32,PIPEDA,8,64,tier2_hospital,0.957,high,10000
17,research_center_017,10000,tier_3,128,PIPEDA,32,256,research_center,0.982,critical,100000
18,mobile_unit_018,100,tier_1,8,local,1,32,mobile_unit,0.859,high,2000
19,edge_device_019,50,tier_2,8,local,1,8,edge_device,0.86,standard,2000
