edge,weight
0-1,1729.18
0-2,111.17
0-3,1884.8
0-4,5413.95
0-5,408.44
0-6,956.98
0-7,984.6
0-8,1153.54
0-9,5614.84
0-10,544.28
0-11,1933.45
0-12,85.68
0-13,83.94
0-14,833.46
1-2,1944.19
1-3,105.5
1-4,2104.9
1-5,488.83
1-6,5849.98
1-7,1188.69
1-8,1102.42
1-9,1144.27
1-10,4796.46
1-11,986.11
1-12,94.18
1-13,1989.15
1-14,598.49
2-3,95.82
2-4,821.98
2-5,505.03
2-6,82.84
2-7,909.45
2-8,2327.85
2-9,1620.31
2-10,4526.49
2-11,826.26
2-12,2064.99
2-13,487.51
2-14,851.59
3-4,2176.59
3-5,819.72
3-6,99.44
3-7,5606.84
3-8,88.07
3-9,4827.74
3-10,102.54
3-11,105.13
3-12,1630.12
3-13,4459.56
3-14,520.62
4-5,1027.42
4-6,4097.47
4-7,4535.68
4-8,879.6
4-9,4488.6
4-10,100.82
4-11,116.99
4-12,412.32
4-13,1109.58
4-14,511.84
5-6,4905.91
5-7,114.82
5-8,5710.97
5-9,2034.48
5-10,932.97
5-11,89.58
5-12,994.42
5-13,2294.15
5-14,515.11
6-7,5225.98
6-8,1886.46
6-9,1991.4
6-10,1705.05
6-11,4553.89
6-12,4506.4
6-13,982.8
6-14,1064.25
7-8,1689.42
7-9,531.73
7-10,453.22
7-11,582.31
7-12,5856.96
7-13,104.79
7-14,4002.06
8-9,5143.79
8-10,5433.59
8-11,579.43
8-12,924.71
8-13,2287.9
8-14,4370.7
9-10,1954.37
9-11,869.88
9-12,2015.4
9-13,2127.21
9-14,964.53
10-11,831.23
10-12,998.25
10-13,5869.98
10-14,2110.94
11-12,2361.44
11-13,1176.06
11-14,5401.46
12-13,1069.04
12-14,5383.32
13-14,403.1
