edge,weight
0-1,1048.35
0-2,113.94
0-3,537.39
0-4,2249.47
0-5,445.46
0-6,88.47
0-7,1121.63
0-8,2203.77
0-9,464.05
1-2,1141.83
1-3,544.76
1-4,537.32
1-5,112.39
1-6,924.63
1-7,530.09
1-8,2363.2
1-9,957.11
2-3,4107.58
2-4,1897.56
2-5,100.36
2-6,4023.77
2-7,5010.42
2-8,907.43
2-9,112.31
3-4,95.86
3-5,590.16
3-6,1602.42
3-7,554.78
3-8,88.03
3-9,471.47
4-5,445.38
4-6,1093.96
4-7,954.44
4-8,1185.9
4-9,466.86
5-6,1198.09
5-7,4449.95
5-8,5380.95
5-9,117.44
6-7,1826.6
6-8,5850.21
6-9,112.0
7-8,542.87
7-9,949.63
8-9,545.83
