node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,local,ISO27001,radiology,1964,public,mayo_clinic,tier1_hospital,4762
1,local,SOC2,oncology,1950,research_grant,johns_hopkins,tier2_hospital,1934
2,local,FedRAMP,cardiology,1964,mixed,stanford_med,research_center,3379
3,international,HIPAA_compliant,neurology,2019,private,mass_general,mobile_unit,1244
4,local,FedRAMP,pathology,1989,mixed,ucla_health,edge_device,719
5,regional,SOC2,radiology,1964,public,mayo_clinic,tier1_hospital,961
6,national,FedRAMP,oncology,2011,research_grant,johns_hopkins,tier2_hospital,3641
7,regional,SOC2,cardiology,1987,private,stanford_med,research_center,4053
8,regional,HIPAA_compliant,neurology,1985,public,mass_general,mobile_unit,4483
9,regional,SOC2,pathology,2004,research_grant,ucla_health,edge_device,4183
