round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19
1,3.3044450283050537,3.2886924743652344,3.298550844192505,3.268867254257202,3.2961373329162598,3.2873544692993164,3.320618152618408,3.285768508911133,3.3093080520629883,3.3002872467041016,3.274801731109619,3.308264970779419,3.2944579124450684,3.3064732551574707,3.2895870208740234,3.2836086750030518,3.282313108444214,3.276797294616699,3.31013560295105,3.293443441390991
2,3.28851056098938,3.278517961502075,3.280043363571167,3.284379720687866,3.2967400550842285,3.2808163166046143,3.2853779792785645,3.2782933712005615,3.283219337463379,3.275479316711426,3.2965524196624756,3.2940311431884766,3.290053367614746,3.2882113456726074,3.296982526779175,3.2876322269439697,3.2778847217559814,3.2752161026000977,3.271949052810669,3.283583402633667
3,3.2723701000213623,3.272029161453247,3.279254913330078,3.291760206222534,3.2936747074127197,3.281061887741089,3.2886712551116943,3.2769017219543457,3.2832133769989014,3.2823405265808105,3.2811241149902344,3.2887799739837646,3.2688205242156982,3.2928926944732666,3.281550407409668,3.2865235805511475,3.2810912132263184,3.277629852294922,3.2771377563476562,3.2884092330932617
4,3.282620429992676,3.2781014442443848,3.274644613265991,3.28908634185791,3.2688217163085938,3.279825448989868,3.2746307849884033,3.276827096939087,3.2676682472229004,3.2771196365356445,3.2723100185394287,3.286715030670166,3.279770851135254,3.279075860977173,3.2852375507354736,3.2771918773651123,3.2824692726135254,3.276552677154541,3.274766445159912,3.2753353118896484
5,3.2932465076446533,3.271770715713501,3.277914524078369,3.271479606628418,3.263509750366211,3.2750229835510254,3.276026487350464,3.2698814868927,3.2728662490844727,3.2771968841552734,3.267098903656006,3.279122829437256,3.276170015335083,3.2711076736450195,3.291944742202759,3.2701644897460938,3.276179790496826,3.275118112564087,3.2756102085113525,3.2757842540740967
6,3.285026788711548,3.2870190143585205,3.274428129196167,3.2668168544769287,3.2750837802886963,3.276834011077881,3.2779810428619385,3.266164541244507,3.268139362335205,3.2714242935180664,3.277726888656616,3.2789618968963623,3.2654428482055664,3.2858190536499023,3.2885208129882812,3.2722418308258057,3.281977653503418,3.273881673812866,3.2667534351348877,3.2720582485198975
7,3.276026725769043,3.2863402366638184,3.2727839946746826,3.280820369720459,3.278985023498535,3.2755749225616455,3.274355888366699,3.2757933139801025,3.277294874191284,3.272503614425659,3.2746052742004395,3.277914047241211,3.270697832107544,3.2915291786193848,3.283198595046997,3.2799391746520996,3.2848703861236572,3.271919012069702,3.267214775085449,3.2709670066833496
8,3.2877485752105713,3.276658058166504,3.2739205360412598,3.2854883670806885,3.2784552574157715,3.266965389251709,3.2847132682800293,3.2826855182647705,3.2783360481262207,3.278761386871338,3.2796471118927,3.2836904525756836,3.2718560695648193,3.2795097827911377,3.2724416255950928,3.2765207290649414,3.2808356285095215,3.26902174949646,3.2774600982666016,3.271656036376953
9,3.286710023880005,3.2886319160461426,3.2729082107543945,3.2799954414367676,3.272430658340454,3.276430606842041,3.2741048336029053,3.2865359783172607,3.282421112060547,3.280815362930298,3.28818678855896,3.2777721881866455,3.277212381362915,3.2687909603118896,3.2707250118255615,3.2831642627716064,3.2742080688476562,3.2810189723968506,3.2785022258758545,3.2761149406433105
10,3.2802011966705322,3.2755205631256104,3.2709085941314697,3.268130302429199,3.2777585983276367,3.2703778743743896,3.28597354888916,3.28078293800354,3.2854082584381104,3.2780182361602783,3.284691333770752,3.2635860443115234,3.2829601764678955,3.2756764888763428,3.2812912464141846,3.2787084579467773,3.2762136459350586,3.2745256423950195,3.2828142642974854,3.2769579887390137
