node_id,latitude,longitude
0,44.014119,-92.492816
1,39.271025,-76.623273
2,37.488854,-122.119112
3,42.354166,-71.104649
4,34.041288,-118.2466
5,51.556028,-0.08172
6,48.906239,2.398618
7,35.633186,139.67249
8,1.395749,103.814245
9,-33.896914,151.203052
10,44.030043,-92.465396
11,39.245892,-76.628866
12,37.476825,-122.105368
13,42.353305,-71.094164
14,34.016049,-118.285011
15,51.515386,-0.169367
16,48.818877,2.311448
17,35.640142,139.650809
18,1.34182,103.862178
19,-33.894927,151.228302
