edge,weight
0-1,411.91
0-2,5003.1
0-3,119.08
0-4,1173.69
0-5,4077.09
0-6,1010.4
0-7,2176.96
0-8,108.78
0-9,1059.88
1-2,1062.28
1-3,894.25
1-4,415.8
1-5,1034.09
1-6,448.84
1-7,1855.14
1-8,5153.01
1-9,818.68
2-3,473.48
2-4,4651.52
2-5,103.36
2-6,4854.76
2-7,5003.03
2-8,92.85
2-9,480.34
3-4,1604.36
3-5,843.33
3-6,542.84
3-7,117.74
3-8,1067.15
3-9,1013.14
4-5,102.78
4-6,2380.98
4-7,2100.52
4-8,1733.65
4-9,1930.92
5-6,94.9
5-7,2090.99
5-8,5852.46
5-9,106.47
6-7,118.49
6-8,1667.9
6-9,440.49
7-8,112.26
7-9,2251.55
8-9,477.23
