node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,HIPAA,16,512,tier1_hospital,0.961,critical,10000
1,clinic_001,1000,tier_2,16,GDPR,4,256,tier2_hospital,0.925,standard,20000
2,research_center_002,5000,tier_3,128,PIPEDA,8,1024,research_center,0.999,standard,50000
3,mobile_unit_003,100,tier_1,16,PIPEDA,1,32,mobile_unit,0.844,high,5000
4,edge_device_004,500,tier_2,8,HIPAA,1,8,edge_device,0.888,standard,1000
5,hospital_005,5000,tier_1,128,local,8,512,tier1_hospital,0.96,critical,20000
6,clinic_006,2000,tier_2,64,GDPR,2,256,tier2_hospital,0.976,standard,20000
7,research_center_007,20000,tier_3,128,local,32,512,research_center,0.992,critical,20000
8,mobile_unit_008,1000,tier_1,4,GDPR,2,64,mobile_unit,0.793,standard,1000
9,edge_device_009,100,tier_2,8,GDPR,1,32,edge_device,0.725,high,500
10,hospital_010,5000,tier_1,64,HIPAA,4,512,tier1_hospital,0.984,standard,20000
11,clinic_011,5000,tier_2,32,HIPAA,4,128,tier2_hospital,0.933,high,10000
12,research_center_012,10000,tier_3,256,GDPR,8,256,research_center,1.0,critical,50000
13,mobile_unit_013,500,tier_1,8,HIPAA,1,32,mobile_unit,0.774,standard,1000
14,edge_device_014,500,tier_2,2,HIPAA,0,32,edge_device,0.807,standard,500
15,hospital_015,5000,tier_1,32,GDPR,4,512,tier1_hospital,0.988,critical,50000
16,clinic_016,1000,tier_2,32,HIPAA,2,64,tier2_hospital,0.913,critical,20000
17,research_center_017,5000,tier_3,256,HIPAA,8,256,research_center,0.98,critical,100000
18,mobile_unit_018,100,tier_1,4,HIPAA,1,64,mobile_unit,0.753,critical,1000
19,edge_device_019,100,tier_2,8,local,0,32,edge_device,0.838,critical,500
20,hospital_020,5000,tier_1,64,local,4,256,tier1_hospital,0.982,critical,20000
21,clinic_021,2000,tier_2,64,local,2,64,tier2_hospital,0.945,standard,10000
22,research_center_022,5000,tier_3,128,GDPR,16,256,research_center,0.982,critical,20000
23,mobile_unit_023,100,tier_1,16,HIPAA,2,32,mobile_unit,0.864,high,1000
24,edge_device_024,500,tier_2,4,local,0,8,edge_device,0.784,high,1000
