node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,regional,HIPAA_compliant,radiology,1969,mixed,mayo_clinic,tier1_hospital,2483
1,national,ISO27001,oncology,1988,private,johns_hopkins,tier2_hospital,602
2,international,HIPAA_compliant,cardiology,1974,research_grant,stanford_med,research_center,3046
3,international,ISO27001,neurology,2017,mixed,mass_general,mobile_unit,3999
4,international,HIPAA_compliant,pathology,1986,mixed,ucla_health,edge_device,3166
5,local,FedRAMP,radiology,2018,mixed,mayo_clinic,tier1_hospital,1254
6,national,SOC2,oncology,1997,private,johns_hopkins,tier2_hospital,3444
7,national,HIPAA_compliant,cardiology,1956,private,stanford_med,research_center,3102
8,international,HIPAA_compliant,neurology,1980,research_grant,mass_general,mobile_unit,4621
9,national,SOC2,pathology,1978,public,ucla_health,edge_device,613
