node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,PIPEDA,8,256,tier1_hospital,0.997,standard,10000
1,clinic_001,1000,tier_2,32,local,2,128,tier2_hospital,0.924,standard,10000
2,research_center_002,20000,tier_3,64,local,32,512,research_center,1.0,critical,100000
3,mobile_unit_003,100,tier_1,16,GDPR,2,64,mobile_unit,0.819,critical,5000
4,edge_device_004,50,tier_2,2,GDPR,0,32,edge_device,0.789,critical,2000
5,hospital_005,10000,tier_1,32,local,16,512,tier1_hospital,0.995,standard,10000
6,clinic_006,1000,tier_2,32,GDPR,2,128,tier2_hospital,0.903,high,5000
7,research_center_007,5000,tier_3,256,GDPR,32,512,research_center,0.987,critical,20000
8,mobile_unit_008,100,tier_1,16,local,1,64,mobile_unit,0.825,critical,5000
9,edge_device_009,50,tier_2,2,HIPAA,0,8,edge_device,0.832,critical,2000
