node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,national,SOC2,radiology,1986,public,mayo_clinic,tier1_hospital,2595
1,regional,HIPAA_compliant,oncology,1958,research_grant,johns_hopkins,tier2_hospital,1125
2,regional,ISO27001,cardiology,1975,mixed,stanford_med,research_center,4373
3,national,ISO27001,neurology,1985,public,mass_general,mobile_unit,2304
4,international,HIPAA_compliant,pathology,1988,mixed,ucla_health,edge_device,4720
5,local,SOC2,radiology,1951,research_grant,mayo_clinic,tier1_hospital,2624
6,national,ISO27001,oncology,1963,public,johns_hopkins,tier2_hospital,4128
7,international,SOC2,cardiology,2018,public,stanford_med,research_center,337
8,national,FedRAMP,neurology,1991,private,mass_general,mobile_unit,3709
9,local,SOC2,pathology,1995,research_grant,ucla_health,edge_device,3689
