edge,weight
0-1,4789.14
0-2,545.76
0-3,5775.01
0-4,1714.27
0-5,1915.12
0-6,99.98
0-7,474.5
0-8,576.31
0-9,106.22
0-10,409.93
0-11,5188.58
0-12,2277.66
0-13,463.49
0-14,2183.02
1-2,4443.43
1-3,545.26
1-4,521.95
1-5,2281.53
1-6,579.23
1-7,4384.72
1-8,1167.65
1-9,98.21
1-10,956.51
1-11,94.15
1-12,2352.33
1-13,2193.52
1-14,1989.29
2-3,4120.77
2-4,87.34
2-5,2131.53
2-6,89.55
2-7,5706.58
2-8,869.77
2-9,1766.19
2-10,988.72
2-11,494.85
2-12,815.5
2-13,93.53
2-14,502.52
3-4,4056.23
3-5,481.05
3-6,1989.41
3-7,821.98
3-8,482.51
3-9,1066.11
3-10,1190.41
3-11,4680.69
3-12,995.92
3-13,2343.25
3-14,428.5
4-5,112.62
4-6,1164.08
4-7,2016.58
4-8,879.67
4-9,4287.34
4-10,81.34
4-11,4353.79
4-12,89.68
4-13,2249.28
4-14,1020.52
5-6,1806.13
5-7,1816.19
5-8,4850.9
5-9,428.05
5-10,5730.72
5-11,806.08
5-12,434.32
5-13,2201.09
5-14,569.91
6-7,2293.13
6-8,1973.83
6-9,837.2
6-10,95.37
6-11,493.17
6-12,973.55
6-13,445.54
6-14,474.99
7-8,80.64
7-9,1776.43
7-10,1015.9
7-11,973.4
7-12,2363.11
7-13,967.45
7-14,1132.43
8-9,589.66
8-10,4609.91
8-11,1106.68
8-12,1057.2
8-13,106.27
8-14,94.33
9-10,2024.68
9-11,4725.4
9-12,119.12
9-13,5823.92
9-14,954.81
10-11,4900.36
10-12,1049.24
10-13,80.47
10-14,436.77
11-12,4965.33
11-13,1109.02
11-14,1066.6
12-13,89.52
12-14,4161.98
13-14,2349.48
