node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,HIPAA,8,256,tier1_hospital,0.981,critical,10000
1,clinic_001,5000,tier_2,64,local,2,128,tier2_hospital,0.911,high,10000
2,research_center_002,20000,tier_3,128,GDPR,32,512,research_center,0.993,standard,50000
3,mobile_unit_003,500,tier_1,16,GDPR,1,16,mobile_unit,0.784,high,1000
4,edge_device_004,50,tier_2,4,HIPAA,1,32,edge_device,0.849,critical,500
5,hospital_005,5000,tier_1,32,local,4,128,tier1_hospital,0.955,standard,10000
6,clinic_006,1000,tier_2,16,local,2,128,tier2_hospital,0.918,critical,10000
7,research_center_007,20000,tier_3,128,GDPR,32,512,research_center,0.988,standard,20000
8,mobile_unit_008,1000,tier_1,4,local,2,32,mobile_unit,0.753,standard,1000
9,edge_device_009,100,tier_2,4,PIPEDA,1,8,edge_device,0.778,standard,1000
10,hospital_010,10000,tier_1,32,HIPAA,8,256,tier1_hospital,0.983,critical,20000
11,clinic_011,5000,tier_2,64,HIPAA,8,256,tier2_hospital,0.959,critical,10000
12,research_center_012,5000,tier_3,256,local,8,1024,research_center,0.994,high,50000
13,mobile_unit_013,1000,tier_1,8,GDPR,1,64,mobile_unit,0.893,critical,2000
14,edge_device_014,100,tier_2,4,HIPAA,0,16,edge_device,0.731,high,1000
15,hospital_015,2000,tier_1,32,HIPAA,8,128,tier1_hospital,0.97,standard,20000
16,clinic_016,5000,tier_2,32,HIPAA,4,64,tier2_hospital,0.96,standard,5000
17,research_center_017,10000,tier_3,64,local,32,256,research_center,0.995,critical,50000
18,mobile_unit_018,1000,tier_1,4,HIPAA,1,64,mobile_unit,0.807,high,2000
19,edge_device_019,500,tier_2,8,PIPEDA,1,16,edge_device,0.803,high,2000
