edge,weight
0-1,1673.98
0-2,4968.21
0-3,84.51
0-4,511.8
0-5,5965.45
0-6,114.1
0-7,97.38
0-8,5124.27
0-9,401.52
0-10,99.64
0-11,4670.36
0-12,1125.0
0-13,833.88
0-14,1774.24
1-2,90.14
1-3,84.43
1-4,1773.33
1-5,108.87
1-6,407.56
1-7,4700.27
1-8,1600.9
1-9,562.65
1-10,99.99
1-11,90.59
1-12,456.82
1-13,444.21
1-14,95.54
2-3,453.19
2-4,2219.26
2-5,420.16
2-6,552.81
2-7,594.3
2-8,864.39
2-9,525.51
2-10,860.36
2-11,1040.31
2-12,923.38
2-13,106.71
2-14,2028.35
3-4,1803.09
3-5,111.12
3-6,812.92
3-7,2373.55
3-8,552.19
3-9,473.25
3-10,587.0
3-11,94.85
3-12,5405.59
3-13,435.3
3-14,2120.7
4-5,1609.43
4-6,554.92
4-7,4650.9
4-8,101.34
4-9,5596.44
4-10,479.38
4-11,415.55
4-12,427.57
4-13,1781.65
4-14,1028.88
5-6,892.61
5-7,530.95
5-8,112.53
5-9,1855.79
5-10,4110.34
5-11,2035.39
5-12,857.52
5-13,5950.43
5-14,843.8
6-7,530.51
6-8,5132.57
6-9,4101.93
6-10,501.56
6-11,1710.07
6-12,4229.69
6-13,441.25
6-14,101.89
7-8,4915.62
7-9,2219.54
7-10,1699.07
7-11,2055.89
7-12,551.84
7-13,5348.54
7-14,1145.1
8-9,2389.38
8-10,448.7
8-11,1063.42
8-12,586.6
8-13,109.9
8-14,938.71
9-10,938.77
9-11,893.55
9-12,1840.79
9-13,4178.09
9-14,85.69
10-11,1058.93
10-12,4719.81
10-13,2187.68
10-14,4709.14
11-12,555.75
11-13,4233.95
11-14,513.52
12-13,1085.68
12-14,2094.97
13-14,81.84
