node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,GDPR,8,512,tier1_hospital,0.974,high,10000
1,clinic_001,2000,tier_2,32,HIPAA,4,256,tier2_hospital,0.903,critical,5000
2,research_center_002,10000,tier_3,128,local,8,256,research_center,0.981,critical,100000
3,mobile_unit_003,100,tier_1,8,HIPAA,2,64,mobile_unit,0.894,standard,1000
4,edge_device_004,500,tier_2,4,HIPAA,1,32,edge_device,0.778,critical,1000
5,hospital_005,10000,tier_1,32,PIPEDA,16,128,tier1_hospital,0.952,standard,50000
6,clinic_006,5000,tier_2,64,GDPR,2,64,tier2_hospital,0.951,standard,20000
7,research_center_007,10000,tier_3,64,GDPR,32,1024,research_center,0.986,critical,20000
8,mobile_unit_008,100,tier_1,16,local,1,64,mobile_unit,0.853,standard,2000
9,edge_device_009,100,tier_2,4,GDPR,1,8,edge_device,0.84,critical,2000
