edge,weight
0-1,1024.52
0-2,111.42
0-3,1948.44
0-4,1601.1
0-5,117.98
0-6,82.67
0-7,1711.0
0-8,557.11
0-9,549.18
1-2,1663.21
1-3,4521.99
1-4,101.01
1-5,4008.75
1-6,2033.83
1-7,1116.12
1-8,5355.38
1-9,4569.13
2-3,405.69
2-4,939.66
2-5,1137.76
2-6,1083.5
2-7,1077.11
2-8,2146.77
2-9,940.1
3-4,2004.31
3-5,570.01
3-6,1675.29
3-7,5250.84
3-8,1945.93
3-9,5180.12
4-5,4137.27
4-6,2344.67
4-7,5688.83
4-8,492.82
4-9,1856.58
5-6,489.05
5-7,584.35
5-8,475.25
5-9,1131.6
6-7,2106.34
6-8,5176.3
6-9,1071.28
7-8,1606.9
7-9,1649.95
8-9,4519.31
