node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,PIPEDA,8,512,tier1_hospital,0.99,critical,10000
1,clinic_001,1000,tier_2,16,local,4,256,tier2_hospital,0.918,high,10000
2,research_center_002,10000,tier_3,256,PIPEDA,8,256,research_center,0.98,standard,50000
3,mobile_unit_003,100,tier_1,8,PIPEDA,2,16,mobile_unit,0.831,high,2000
4,edge_device_004,500,tier_2,4,PIPEDA,1,32,edge_device,0.891,high,500
5,hospital_005,5000,tier_1,32,GDPR,16,512,tier1_hospital,0.964,critical,10000
6,clinic_006,2000,tier_2,16,local,4,256,tier2_hospital,0.949,critical,10000
7,research_center_007,20000,tier_3,128,local,32,512,research_center,0.981,high,100000
8,mobile_unit_008,1000,tier_1,4,local,1,16,mobile_unit,0.819,standard,2000
9,edge_device_009,50,tier_2,8,local,0,32,edge_device,0.836,standard,500
