edge,weight
0-1,1122.98
0-2,541.66
0-3,2232.8
0-4,443.23
0-5,1026.08
0-6,1674.59
0-7,547.06
0-8,1080.32
0-9,2003.26
0-10,576.91
0-11,5657.84
0-12,5596.18
0-13,1042.46
0-14,2148.63
1-2,417.19
1-3,1962.68
1-4,462.7
1-5,84.13
1-6,2359.45
1-7,580.86
1-8,845.93
1-9,5373.35
1-10,489.78
1-11,1192.26
1-12,1604.94
1-13,2127.06
1-14,106.44
2-3,4023.76
2-4,5450.82
2-5,1181.81
2-6,4107.43
2-7,523.34
2-8,94.29
2-9,1646.94
2-10,532.31
2-11,81.8
2-12,454.48
2-13,2315.91
2-14,472.86
3-4,1002.91
3-5,2346.94
3-6,1044.69
3-7,1828.43
3-8,5516.58
3-9,4445.93
3-10,109.63
3-11,4801.85
3-12,588.7
3-13,93.84
3-14,522.17
4-5,5147.37
4-6,1921.41
4-7,1194.4
4-8,101.72
4-9,90.47
4-10,1940.65
4-11,842.59
4-12,99.46
4-13,452.81
4-14,491.88
5-6,1718.51
5-7,548.04
5-8,4477.67
5-9,5642.4
5-10,1944.92
5-11,104.22
5-12,421.19
5-13,419.97
5-14,949.9
6-7,921.18
6-8,539.15
6-9,2064.55
6-10,4378.57
6-11,2260.61
6-12,108.98
6-13,523.26
6-14,2393.78
7-8,1854.82
7-9,5560.44
7-10,971.72
7-11,4319.74
7-12,4122.68
7-13,4833.87
7-14,498.85
8-9,800.06
8-10,461.56
8-11,2059.84
8-12,2303.49
8-13,113.05
8-14,2236.36
9-10,4043.94
9-11,4797.03
9-12,1159.93
9-13,1690.78
9-14,1062.11
10-11,4235.85
10-12,2024.63
10-13,1851.72
10-14,502.15
11-12,2253.22
11-13,4337.17
11-14,467.92
12-13,4748.31
12-14,474.64
13-14,461.07
