node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,HIPAA,4,256,tier1_hospital,0.991,high,10000
1,clinic_001,1000,tier_2,32,HIPAA,8,128,tier2_hospital,0.926,critical,20000
2,research_center_002,10000,tier_3,128,local,16,1024,research_center,0.984,standard,100000
3,mobile_unit_003,500,tier_1,4,PIPEDA,1,64,mobile_unit,0.856,critical,1000
4,edge_device_004,500,tier_2,8,local,0,32,edge_device,0.848,high,2000
5,hospital_005,2000,tier_1,32,PIPEDA,8,128,tier1_hospital,0.956,standard,50000
6,clinic_006,1000,tier_2,64,GDPR,8,256,tier2_hospital,0.914,standard,5000
7,research_center_007,10000,tier_3,64,HIPAA,32,256,research_center,0.992,standard,20000
8,mobile_unit_008,100,tier_1,16,local,2,16,mobile_unit,0.868,critical,5000
9,edge_device_009,50,tier_2,8,GDPR,1,16,edge_device,0.731,standard,1000
