edge,weight
0-1,1029.21
0-2,450.27
0-3,402.93
0-4,966.36
0-5,462.57
0-6,402.06
0-7,5294.04
0-8,1144.91
0-9,1663.45
0-10,98.03
0-11,116.98
0-12,506.44
0-13,5263.97
0-14,5658.99
1-2,1058.63
1-3,1176.65
1-4,111.15
1-5,878.4
1-6,1641.03
1-7,1960.38
1-8,2288.85
1-9,4503.43
1-10,2184.14
1-11,1065.3
1-12,1144.3
1-13,1875.46
1-14,5539.53
2-3,527.81
2-4,860.6
2-5,4608.63
2-6,2146.86
2-7,85.96
2-8,478.34
2-9,115.34
2-10,4998.4
2-11,2203.68
2-12,844.38
2-13,1680.52
2-14,4105.19
3-4,2042.32
3-5,4074.15
3-6,104.98
3-7,510.89
3-8,1728.18
3-9,4523.51
3-10,80.91
3-11,967.9
3-12,432.51
3-13,1740.7
3-14,113.25
4-5,4537.66
4-6,4180.51
4-7,4452.01
4-8,103.77
4-9,112.18
4-10,4398.7
4-11,5379.38
4-12,482.48
4-13,1099.45
4-14,1977.39
5-6,1133.92
5-7,110.08
5-8,98.74
5-9,105.74
5-10,4790.27
5-11,888.4
5-12,2056.39
5-13,880.35
5-14,1177.03
6-7,2183.26
6-8,1140.21
6-9,100.62
6-10,4004.26
6-11,5150.91
6-12,2345.98
6-13,113.19
6-14,5455.12
7-8,487.29
7-9,4572.52
7-10,581.42
7-11,4283.28
7-12,118.64
7-13,95.41
7-14,102.37
8-9,4071.56
8-10,109.0
8-11,1178.21
8-12,5344.75
8-13,4245.51
8-14,4159.74
9-10,4724.02
9-11,103.02
9-12,86.24
9-13,477.74
9-14,4432.65
10-11,90.86
10-12,1012.72
10-13,551.15
10-14,106.6
11-12,1835.24
11-13,2253.0
11-14,450.69
12-13,5846.91
12-14,119.22
13-14,2097.81
