edge,weight
0-1,468.43
0-2,803.75
0-3,1981.98
0-4,2103.02
0-5,1631.52
0-6,4243.17
0-7,4138.87
0-8,98.36
0-9,1182.45
1-2,1047.91
1-3,1172.69
1-4,104.49
1-5,512.36
1-6,534.15
1-7,85.67
1-8,1154.95
1-9,4397.18
2-3,113.83
2-4,807.47
2-5,92.66
2-6,5928.5
2-7,2275.64
2-8,98.23
2-9,2113.5
3-4,485.64
3-5,4146.93
3-6,523.27
3-7,4432.91
3-8,85.4
3-9,4854.99
4-5,5306.24
4-6,4656.42
4-7,2171.41
4-8,558.6
4-9,110.31
5-6,5722.92
5-7,108.1
5-8,526.2
5-9,5588.78
6-7,100.66
6-8,4615.06
6-9,1955.72
7-8,115.78
7-9,599.14
8-9,549.0
