node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,43.978519,-92.481199,north_america,America/Chicago
1,Baltimore,USA,39.309365,-76.616515,europe,America/New_York
2,Palo Alto,USA,37.453558,-122.159351,asia_pacific,America/Los_Angeles
3,Boston,USA,42.356956,-71.039788,south_america,America/New_York
4,Los Angeles,USA,34.030826,-118.285812,africa,America/Los_Angeles
5,London,UK,51.468243,-0.115935,north_america,Europe/London
6,Paris,France,48.881037,2.331691,europe,Europe/Paris
7,Tokyo,Japan,35.651256,139.68787,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.3504,103.812621,south_america,Asia/Singapore
9,Sydney,Australia,-33.896331,151.252303,africa,Australia/Sydney
10,Rochester,USA,44.016099,-92.459515,north_america,America/Chicago
11,Baltimore,USA,39.329976,-76.642886,europe,America/New_York
12,Palo Alto,USA,37.483424,-122.106601,asia_pacific,America/Los_Angeles
13,Boston,USA,42.375609,-71.057445,south_america,America/New_York
14,Los Angeles,USA,34.038327,-118.258055,africa,America/Los_Angeles
