node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,local,4,512,tier1_hospital,0.973,high,50000
1,clinic_001,2000,tier_2,64,GDPR,2,256,tier2_hospital,0.958,standard,20000
2,research_center_002,20000,tier_3,256,PIPEDA,16,1024,research_center,0.99,standard,20000
3,mobile_unit_003,100,tier_1,8,GDPR,1,16,mobile_unit,0.834,standard,1000
4,edge_device_004,50,tier_2,8,HIPAA,0,32,edge_device,0.764,critical,500
5,hospital_005,10000,tier_1,64,PIPEDA,16,512,tier1_hospital,0.951,high,20000
6,clinic_006,5000,tier_2,16,GDPR,2,256,tier2_hospital,0.939,high,10000
7,research_center_007,20000,tier_3,64,HIPAA,16,256,research_center,0.99,critical,20000
8,mobile_unit_008,500,tier_1,4,HIPAA,2,32,mobile_unit,0.787,critical,2000
9,edge_device_009,50,tier_2,4,local,1,8,edge_device,0.836,critical,1000
10,hospital_010,10000,tier_1,128,GDPR,4,256,tier1_hospital,0.965,high,50000
11,clinic_011,5000,tier_2,16,PIPEDA,2,256,tier2_hospital,0.976,standard,10000
12,research_center_012,20000,tier_3,128,PIPEDA,16,256,research_center,0.993,standard,20000
13,mobile_unit_013,100,tier_1,16,PIPEDA,2,64,mobile_unit,0.791,high,2000
14,edge_device_014,50,tier_2,4,local,0,32,edge_device,0.807,standard,1000
