node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,local,8,512,tier1_hospital,0.955,standard,50000
1,clinic_001,1000,tier_2,32,PIPEDA,4,64,tier2_hospital,0.959,standard,10000
2,research_center_002,10000,tier_3,256,GDPR,32,256,research_center,0.998,standard,50000
3,mobile_unit_003,1000,tier_1,16,HIPAA,1,32,mobile_unit,0.871,critical,5000
4,edge_device_004,50,tier_2,4,PIPEDA,1,8,edge_device,0.82,critical,500
5,hospital_005,2000,tier_1,128,HIPAA,4,256,tier1_hospital,0.988,critical,20000
6,clinic_006,2000,tier_2,16,GDPR,2,128,tier2_hospital,0.905,high,5000
7,research_center_007,10000,tier_3,128,GDPR,8,256,research_center,0.982,standard,50000
8,mobile_unit_008,500,tier_1,16,local,2,64,mobile_unit,0.849,standard,5000
9,edge_device_009,500,tier_2,2,PIPEDA,1,16,edge_device,0.806,high,2000
