node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.034648,-92.49971,north_america,America/Chicago
1,Baltimore,USA,39.330332,-76.65178,europe,America/New_York
2,Palo Alto,USA,37.481356,-122.13341,asia_pacific,America/Los_Angeles
3,Boston,USA,42.375146,-71.081751,south_america,America/New_York
4,Los Angeles,USA,34.058588,-118.246166,africa,America/Los_Angeles
5,London,UK,51.527424,-0.175412,north_america,Europe/London
6,Paris,France,48.852261,2.302911,europe,Europe/Paris
7,Tokyo,Japan,35.697462,139.684093,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.371085,103.806072,south_america,Asia/Singapore
9,Sydney,Australia,-33.827204,151.169854,africa,Australia/Sydney
10,Rochester,USA,44.04361,-92.426758,north_america,America/Chicago
11,Baltimore,USA,39.315487,-76.62412,europe,America/New_York
12,Palo Alto,USA,37.456544,-122.125975,asia_pacific,America/Los_Angeles
13,Boston,USA,42.324452,-71.064258,south_america,America/New_York
14,Los Angeles,USA,34.09576,-118.213543,africa,America/Los_Angeles
15,London,UK,51.533702,-0.09633,north_america,Europe/London
16,Paris,France,48.89772,2.316855,europe,Europe/Paris
17,Tokyo,Japan,35.711826,139.661839,asia_pacific,Asia/Tokyo
18,Singapore,Singapore,1.333192,103.858124,south_america,Asia/Singapore
19,Sydney,Australia,-33.894015,151.254827,africa,Australia/Sydney
20,Rochester,USA,43.979309,-92.458451,north_america,America/Chicago
21,Baltimore,USA,39.308796,-76.575307,europe,America/New_York
22,Palo Alto,USA,37.426726,-122.113545,asia_pacific,America/Los_Angeles
23,Boston,USA,42.338902,-71.104637,south_america,America/New_York
24,Los Angeles,USA,34.015821,-118.242516,africa,America/Los_Angeles
