edge,weight
0-1,97.79
0-2,2194.1
0-3,2220.97
0-4,1095.1
0-5,422.29
0-6,879.38
0-7,464.44
0-8,117.49
0-9,444.9
1-2,2360.58
1-3,5831.12
1-4,99.16
1-5,5431.19
1-6,858.72
1-7,4813.36
1-8,883.95
1-9,1972.17
2-3,83.97
2-4,98.24
2-5,560.5
2-6,95.56
2-7,5611.38
2-8,98.58
2-9,2372.8
3-4,439.61
3-5,478.29
3-6,440.47
3-7,4875.79
3-8,467.88
3-9,116.84
4-5,1910.21
4-6,1974.1
4-7,4414.26
4-8,414.79
4-9,1066.09
5-6,2239.51
5-7,5310.36
5-8,812.39
5-9,89.83
6-7,5919.28
6-8,4109.87
6-9,1112.89
7-8,901.55
7-9,5385.68
8-9,1026.28
