edge,weight
0-1,4920.97
0-2,104.66
0-3,1135.73
0-4,1961.78
0-5,90.99
0-6,566.29
0-7,503.78
0-8,4563.25
0-9,481.73
1-2,967.97
1-3,849.46
1-4,5937.84
1-5,1835.82
1-6,5599.0
1-7,88.81
1-8,5762.63
1-9,803.59
2-3,5690.05
2-4,1793.61
2-5,584.25
2-6,5237.5
2-7,2065.37
2-8,836.28
2-9,5484.32
3-4,5551.21
3-5,4388.37
3-6,437.19
3-7,947.69
3-8,4403.78
3-9,5852.87
4-5,103.43
4-6,548.81
4-7,118.27
4-8,1027.31
4-9,1922.57
5-6,4278.18
5-7,960.65
5-8,1675.22
5-9,869.16
6-7,108.71
6-8,5618.51
6-9,1043.1
7-8,5110.28
7-9,2354.47
8-9,2148.51
