node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,national,SOC2,radiology,2012,research_grant,mayo_clinic,tier1_hospital,828
1,international,FedRAMP,oncology,1992,mixed,johns_hopkins,tier2_hospital,2635
2,international,SOC2,cardiology,2020,research_grant,stanford_med,research_center,4974
3,regional,HIPAA_compliant,neurology,1984,private,mass_general,mobile_unit,2441
4,regional,ISO27001,pathology,1976,public,ucla_health,edge_device,1631
5,national,FedRAMP,radiology,1978,mixed,mayo_clinic,tier1_hospital,1990
6,international,SOC2,oncology,1964,research_grant,johns_hopkins,tier2_hospital,1966
7,regional,SOC2,cardiology,2010,private,stanford_med,research_center,1923
8,international,FedRAMP,neurology,2017,public,mass_general,mobile_unit,1234
9,national,ISO27001,pathology,1982,public,ucla_health,edge_device,4892
