edge,weight
0-1,521.09
0-2,1002.36
0-3,929.9
0-4,2190.6
0-5,469.68
0-6,4054.33
0-7,107.42
0-8,1601.86
0-9,5460.83
1-2,80.25
1-3,2362.61
1-4,469.43
1-5,596.0
1-6,5689.21
1-7,2064.46
1-8,2392.37
1-9,4640.73
2-3,91.87
2-4,1072.76
2-5,5421.2
2-6,966.81
2-7,452.05
2-8,449.24
2-9,2131.59
3-4,987.6
3-5,2092.54
3-6,412.54
3-7,95.96
3-8,579.87
3-9,80.81
4-5,1177.2
4-6,117.12
4-7,114.18
4-8,1825.94
4-9,895.97
5-6,1098.55
5-7,527.85
5-8,567.87
5-9,495.49
6-7,4166.37
6-8,4347.41
6-9,94.41
7-8,597.33
7-9,5501.78
8-9,87.51
