node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,local,SOC2,Rochester,USA,radiology,1969,private,mayo_clinic,tier1_hospital,north_america,3648,America/Chicago
1,regional,HIPAA_compliant,Baltimore,USA,oncology,1966,private,johns_hopkins,tier2_hospital,europe,2812,America/New_York
2,international,SOC2,Palo Alto,USA,cardiology,1957,research_grant,stanford_med,research_center,asia_pacific,4058,America/Los_Angeles
3,international,ISO27001,Boston,USA,neurology,1976,public,mass_general,mobile_unit,south_america,641,America/New_York
4,national,SOC2,Los Angeles,USA,pathology,1966,public,ucla_health,edge_device,africa,912,America/Los_Angeles
5,international,SOC2,London,UK,radiology,2012,private,mayo_clinic,tier1_hospital,north_america,3425,Europe/London
6,regional,SOC2,Paris,France,oncology,1989,public,johns_hopkins,tier2_hospital,europe,3008,Europe/Paris
7,regional,HIPAA_compliant,Tokyo,Japan,cardiology,1988,research_grant,stanford_med,research_center,asia_pacific,3735,Asia/Tokyo
8,regional,HIPAA_compliant,Singapore,Singapore,neurology,1964,private,mass_general,mobile_unit,south_america,4260,Asia/Singapore
9,local,SOC2,Sydney,Australia,pathology,1973,private,ucla_health,edge_device,africa,3017,Australia/Sydney
