edge,weight
0-1,4630.21
0-2,1076.0
0-3,887.5
0-4,90.6
0-5,851.0
0-6,5608.89
0-7,85.98
0-8,2261.35
0-9,93.14
1-2,458.07
1-3,1815.91
1-4,469.07
1-5,112.56
1-6,5146.78
1-7,526.66
1-8,544.69
1-9,111.42
2-3,4630.9
2-4,1713.53
2-5,504.22
2-6,508.35
2-7,2024.8
2-8,106.99
2-9,4092.64
3-4,589.87
3-5,1894.31
3-6,2127.31
3-7,2301.23
3-8,577.31
3-9,1842.76
4-5,111.35
4-6,5650.29
4-7,118.61
4-8,1862.42
4-9,904.96
5-6,944.53
5-7,1840.83
5-8,2024.02
5-9,110.14
6-7,1964.59
6-8,940.6
6-9,5449.29
7-8,1858.41
7-9,116.95
8-9,503.82
