node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,local,8,256,tier1_hospital,0.961,high,20000
1,clinic_001,5000,tier_2,32,HIPAA,2,128,tier2_hospital,0.979,standard,5000
2,research_center_002,5000,tier_3,128,HIPAA,32,512,research_center,0.986,critical,50000
3,mobile_unit_003,100,tier_1,4,local,2,16,mobile_unit,0.77,critical,5000
4,edge_device_004,100,tier_2,8,PIPEDA,0,16,edge_device,0.894,standard,1000
5,hospital_005,10000,tier_1,32,GDPR,16,512,tier1_hospital,0.977,high,50000
6,clinic_006,2000,tier_2,32,local,2,64,tier2_hospital,0.947,standard,10000
7,research_center_007,5000,tier_3,64,PIPEDA,32,1024,research_center,0.99,high,100000
8,mobile_unit_008,100,tier_1,4,local,1,64,mobile_unit,0.862,high,1000
9,edge_device_009,50,tier_2,2,local,0,32,edge_device,0.734,critical,1000
