timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753373008.7446725,1,10,"[4, 8]",2,0.2,0.2,"{4: 1.0, 8: 1.0}",,,
1753373032.39695,2,10,"[6, 1]",2,0.2,0.2,"{6: 1.0, 1: 1.0}",,,
1753373052.1471727,3,10,"[4, 2]",2,0.2,0.2,"{4: 1.0, 2: 1.0}",,,
1753373065.749025,4,10,"[2, 3]",2,0.2,0.2,"{2: 1.0, 3: 1.0}",,,
1753373087.2346427,5,10,"[6, 5]",2,0.2,0.2,"{6: 1.0, 5: 1.0}",,,
1753373107.5228457,6,10,"[2, 3]",2,0.2,0.2,"{2: 1.0, 3: 1.0}",,,
1753373113.211643,7,10,"[8, 0]",2,0.2,0.2,"{8: 1.0, 0: 1.0}",,,
1753373131.960551,8,10,"[3, 2]",2,0.2,0.2,"{3: 1.0, 2: 1.0}",,,
1753373137.6528225,9,10,"[8, 5]",2,0.2,0.2,"{8: 1.0, 5: 1.0}",,,
1753373144.271446,10,10,"[6, 2]",2,0.2,0.2,"{6: 1.0, 2: 1.0}",,,
