node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,PIPEDA,4,256,tier1_hospital,0.959,standard,50000
1,clinic_001,5000,tier_2,32,PIPEDA,8,64,tier2_hospital,0.929,high,20000
2,research_center_002,10000,tier_3,64,local,16,1024,research_center,0.99,critical,50000
3,mobile_unit_003,500,tier_1,16,HIPAA,2,32,mobile_unit,0.822,critical,5000
4,edge_device_004,500,tier_2,2,GDPR,1,8,edge_device,0.706,standard,2000
5,hospital_005,10000,tier_1,64,local,4,256,tier1_hospital,0.953,critical,20000
6,clinic_006,2000,tier_2,32,HIPAA,8,128,tier2_hospital,0.947,critical,10000
7,research_center_007,20000,tier_3,128,GDPR,16,1024,research_center,0.989,standard,100000
8,mobile_unit_008,500,tier_1,16,HIPAA,2,16,mobile_unit,0.769,critical,1000
9,edge_device_009,100,tier_2,4,HIPAA,0,8,edge_device,0.787,high,2000
