edge,weight
0-1,910.11
0-2,410.91
0-3,2250.74
0-4,494.2
0-5,5335.67
0-6,483.57
0-7,1617.41
0-8,1708.83
0-9,1636.69
1-2,469.8
1-3,4036.92
1-4,1795.4
1-5,517.28
1-6,833.7
1-7,5796.62
1-8,1097.47
1-9,83.29
2-3,4522.58
2-4,2079.0
2-5,5827.41
2-6,542.97
2-7,561.38
2-8,5627.67
2-9,1947.39
3-4,4614.66
3-5,5421.72
3-6,1099.62
3-7,5449.87
3-8,89.01
3-9,85.82
4-5,1029.4
4-6,100.82
4-7,538.46
4-8,874.78
4-9,2022.95
5-6,4372.52
5-7,1614.14
5-8,5671.3
5-9,5303.75
6-7,1075.5
6-8,832.44
6-9,530.92
7-8,585.56
7-9,2093.42
8-9,2265.84
