node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,local,FedRAMP,radiology,1994,public,mayo_clinic,tier1_hospital,2636
1,regional,ISO27001,oncology,1978,mixed,johns_hopkins,tier2_hospital,1942
2,local,HIPAA_compliant,cardiology,2016,public,stanford_med,research_center,2494
3,local,HIPAA_compliant,neurology,2016,private,mass_general,mobile_unit,3513
4,international,HIPAA_compliant,pathology,1957,mixed,ucla_health,edge_device,1425
5,national,FedRAMP,radiology,2004,public,mayo_clinic,tier1_hospital,1928
6,national,SOC2,oncology,2016,public,johns_hopkins,tier2_hospital,1924
7,international,HIPAA_compliant,cardiology,1981,private,stanford_med,research_center,2260
8,national,ISO27001,neurology,2005,mixed,mass_general,mobile_unit,3507
9,local,SOC2,pathology,1987,public,ucla_health,edge_device,1832
