round_num,node_0,node_1,node_2,node_3,node_4
1,5.871211528778076,5.647060394287109,5.156174659729004,5.513235092163086,5.193365097045898
2,6.937732696533203,6.503846645355225,5.876369953155518,6.2502665519714355,6.089474201202393
3,7.802041530609131,7.258424758911133,6.672057151794434,7.177526950836182,6.871966361999512
4,8.604995727539062,8.101489067077637,7.330143451690674,7.941034317016602,7.591262340545654
5,9.319937705993652,8.722509384155273,8.128113746643066,8.730981826782227,8.21767520904541
6,9.765774726867676,9.30880069732666,8.751290321350098,9.221348762512207,8.975587844848633
7,10.4478759765625,9.775537490844727,9.402549743652344,10.090774536132812,9.678547859191895
8,10.928411483764648,10.38634967803955,10.059906959533691,10.57781982421875,10.147353172302246
9,11.404335975646973,10.797464370727539,10.729723930358887,11.027751922607422,10.751718521118164
10,12.03690242767334,11.514103889465332,11.100700378417969,11.63620662689209,11.221749305725098
