edge,weight
0-1,514.85
0-2,4296.03
0-3,513.07
0-4,1653.07
0-5,2265.15
0-6,2381.78
0-7,2109.55
0-8,107.78
0-9,1176.43
0-10,113.27
0-11,979.71
0-12,4868.02
0-13,86.07
0-14,515.58
1-2,4282.03
1-3,5737.84
1-4,1928.98
1-5,2057.95
1-6,101.65
1-7,537.14
1-8,860.01
1-9,105.41
1-10,1882.38
1-11,950.42
1-12,1921.76
1-13,1009.8
1-14,466.24
2-3,1188.3
2-4,2055.08
2-5,5392.38
2-6,95.04
2-7,1683.98
2-8,5173.12
2-9,4217.5
2-10,1006.96
2-11,828.89
2-12,1979.91
2-13,1114.95
2-14,535.09
3-4,4429.32
3-5,559.52
3-6,418.1
3-7,816.97
3-8,404.21
3-9,407.38
3-10,4103.47
3-11,102.42
3-12,117.18
3-13,1017.51
3-14,84.97
4-5,5867.82
4-6,5030.77
4-7,90.95
4-8,524.72
4-9,86.85
4-10,98.24
4-11,5481.23
4-12,1036.92
4-13,489.96
4-14,508.9
5-6,556.84
5-7,113.49
5-8,82.01
5-9,2147.1
5-10,991.83
5-11,1775.0
5-12,4934.59
5-13,4184.44
5-14,4705.73
6-7,449.27
6-8,1087.6
6-9,432.7
6-10,5396.71
6-11,1144.31
6-12,4277.66
6-13,1891.76
6-14,1035.29
7-8,1681.12
7-9,1135.89
7-10,2385.44
7-11,4025.07
7-12,414.88
7-13,98.64
7-14,812.21
8-9,441.72
8-10,401.94
8-11,90.01
8-12,439.18
8-13,5903.17
8-14,5150.02
9-10,105.38
9-11,5406.48
9-12,105.72
9-13,108.98
9-14,84.5
10-11,805.25
10-12,976.23
10-13,438.4
10-14,4271.95
11-12,5998.03
11-13,111.15
11-14,1094.77
12-13,94.38
12-14,537.82
13-14,837.26
