node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,ISO27001,radiology,1989,mixed,mayo_clinic,tier1_hospital,282
1,regional,ISO27001,oncology,2000,research_grant,johns_hopkins,tier2_hospital,4073
2,regional,FedRAMP,cardiology,1964,mixed,stanford_med,research_center,1668
3,international,ISO27001,neurology,1958,public,mass_general,mobile_unit,343
4,regional,FedRAMP,pathology,1958,research_grant,ucla_health,edge_device,1230
5,regional,ISO27001,radiology,2007,private,mayo_clinic,tier1_hospital,1689
6,national,HIPAA_compliant,oncology,1950,research_grant,johns_hopkins,tier2_hospital,1186
7,regional,ISO27001,cardiology,2009,public,stanford_med,research_center,3262
8,regional,SOC2,neurology,1957,public,mass_general,mobile_unit,1574
9,international,HIPAA_compliant,pathology,1979,research_grant,ucla_health,edge_device,3052
10,international,FedRAMP,radiology,1960,private,mayo_clinic,tier1_hospital,3097
11,international,ISO27001,oncology,2013,public,johns_hopkins,tier2_hospital,4905
12,regional,HIPAA_compliant,cardiology,1976,mixed,stanford_med,research_center,2927
13,regional,HIPAA_compliant,neurology,1950,research_grant,mass_general,mobile_unit,2005
14,local,ISO27001,pathology,1992,public,ucla_health,edge_device,577
15,national,HIPAA_compliant,radiology,1984,private,mayo_clinic,tier1_hospital,2761
16,international,HIPAA_compliant,oncology,2017,mixed,johns_hopkins,tier2_hospital,1613
17,local,HIPAA_compliant,cardiology,1991,research_grant,stanford_med,research_center,1155
18,international,ISO27001,neurology,2013,private,mass_general,mobile_unit,4856
19,local,ISO27001,pathology,1980,public,ucla_health,edge_device,3871
20,regional,ISO27001,radiology,2008,research_grant,mayo_clinic,tier1_hospital,4444
21,national,HIPAA_compliant,oncology,2003,private,johns_hopkins,tier2_hospital,1503
22,national,FedRAMP,cardiology,1967,private,stanford_med,research_center,4870
23,international,SOC2,neurology,2015,public,mass_general,mobile_unit,897
24,international,FedRAMP,pathology,2014,public,ucla_health,edge_device,3736
