node_id,latitude,longitude
0,44.025427,-92.434215
1,39.262505,-76.587392
2,37.46912,-122.110169
3,42.386652,-71.065317
4,34.020841,-118.278751
5,51.479765,-0.149898
6,48.869498,2.312743
7,35.675357,139.679185
8,1.306887,103.86961
9,-33.835205,151.198677
10,43.992636,-92.452963
11,39.30155,-76.592028
12,37.480369,-122.094907
13,42.350631,-71.03897
14,34.043249,-118.205306
15,51.460067,-0.086494
16,48.809015,2.30896
17,35.658465,139.67908
18,1.361946,103.795172
19,-33.892053,151.247845
