node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,GDPR,16,256,tier1_hospital,0.959,critical,50000
1,clinic_001,5000,tier_2,32,local,4,64,tier2_hospital,0.973,high,10000
2,research_center_002,5000,tier_3,256,local,8,256,research_center,0.997,critical,50000
3,mobile_unit_003,1000,tier_1,16,HIPAA,1,16,mobile_unit,0.86,standard,2000
4,edge_device_004,500,tier_2,8,PIPEDA,0,32,edge_device,0.814,high,2000
5,hospital_005,2000,tier_1,64,PIPEDA,16,128,tier1_hospital,0.966,standard,20000
6,clinic_006,5000,tier_2,16,HIPAA,8,256,tier2_hospital,0.939,standard,20000
7,research_center_007,10000,tier_3,128,local,8,1024,research_center,0.988,standard,20000
8,mobile_unit_008,1000,tier_1,4,HIPAA,2,32,mobile_unit,0.865,high,5000
9,edge_device_009,100,tier_2,8,GDPR,0,32,edge_device,0.854,high,500
10,hospital_010,5000,tier_1,32,PIPEDA,4,256,tier1_hospital,0.984,critical,10000
11,clinic_011,1000,tier_2,32,PIPEDA,4,64,tier2_hospital,0.967,high,10000
12,research_center_012,5000,tier_3,256,GDPR,32,512,research_center,0.997,standard,100000
13,mobile_unit_013,500,tier_1,16,local,2,32,mobile_unit,0.86,critical,1000
14,edge_device_014,100,tier_2,8,PIPEDA,1,16,edge_device,0.827,standard,500
15,hospital_015,5000,tier_1,32,HIPAA,16,128,tier1_hospital,0.986,high,20000
16,clinic_016,2000,tier_2,32,PIPEDA,2,256,tier2_hospital,0.934,high,5000
17,research_center_017,5000,tier_3,64,PIPEDA,32,1024,research_center,0.991,high,100000
18,mobile_unit_018,500,tier_1,16,PIPEDA,2,16,mobile_unit,0.794,critical,5000
19,edge_device_019,100,tier_2,8,PIPEDA,1,32,edge_device,0.807,critical,500
20,hospital_020,5000,tier_1,32,HIPAA,16,512,tier1_hospital,0.979,high,20000
21,clinic_021,2000,tier_2,32,local,2,256,tier2_hospital,0.903,standard,10000
22,research_center_022,10000,tier_3,128,GDPR,8,512,research_center,0.991,critical,100000
23,mobile_unit_023,500,tier_1,8,HIPAA,2,32,mobile_unit,0.862,high,2000
24,edge_device_024,100,tier_2,4,GDPR,1,16,edge_device,0.872,critical,500
25,hospital_025,5000,tier_1,64,GDPR,16,128,tier1_hospital,0.982,standard,10000
26,clinic_026,1000,tier_2,64,HIPAA,2,256,tier2_hospital,0.907,critical,5000
27,research_center_027,20000,tier_3,64,GDPR,8,256,research_center,0.99,critical,100000
28,mobile_unit_028,1000,tier_1,4,local,2,16,mobile_unit,0.774,standard,1000
29,edge_device_029,500,tier_2,8,GDPR,1,32,edge_device,0.768,standard,500
