node_id,latitude,longitude
0,44.029611,-92.503233
1,39.323418,-76.639721
2,37.483971,-122.147009
3,42.359827,-71.080223
4,34.01995,-118.248534
5,51.471541,-0.082165
6,48.854819,2.391737
7,35.692867,139.627811
8,1.30596,103.81662
9,-33.844733,151.175109
10,44.060215,-92.509325
11,39.303475,-76.59518
12,37.466905,-122.18908
13,42.321923,-71.061388
14,34.0371,-118.241503
15,51.475082,-0.153981
16,48.809111,2.356514
17,35.639065,139.659668
18,1.374733,103.821316
19,-33.836542,151.198523
