node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,HIPAA,4,128,tier1_hospital,0.999,standard,20000
1,clinic_001,2000,tier_2,64,PIPEDA,2,64,tier2_hospital,0.91,standard,20000
2,research_center_002,5000,tier_3,256,GDPR,16,512,research_center,0.981,high,100000
3,mobile_unit_003,500,tier_1,4,local,2,64,mobile_unit,0.79,critical,1000
4,edge_device_004,50,tier_2,4,GDPR,0,16,edge_device,0.768,standard,500
5,hospital_005,10000,tier_1,32,HIPAA,16,128,tier1_hospital,0.977,standard,20000
6,clinic_006,2000,tier_2,64,local,4,64,tier2_hospital,0.905,high,20000
7,research_center_007,5000,tier_3,256,HIPAA,16,256,research_center,0.991,standard,50000
8,mobile_unit_008,500,tier_1,8,HIPAA,1,32,mobile_unit,0.849,standard,1000
9,edge_device_009,50,tier_2,4,PIPEDA,1,8,edge_device,0.767,critical,500
10,hospital_010,10000,tier_1,64,local,8,256,tier1_hospital,0.953,high,20000
11,clinic_011,2000,tier_2,64,HIPAA,2,256,tier2_hospital,0.946,critical,5000
12,research_center_012,5000,tier_3,64,GDPR,32,256,research_center,0.981,critical,50000
13,mobile_unit_013,100,tier_1,4,local,2,32,mobile_unit,0.787,standard,2000
14,edge_device_014,100,tier_2,2,PIPEDA,1,32,edge_device,0.797,critical,1000
15,hospital_015,5000,tier_1,128,HIPAA,4,256,tier1_hospital,0.999,critical,50000
16,clinic_016,5000,tier_2,16,PIPEDA,4,64,tier2_hospital,0.958,high,20000
17,research_center_017,20000,tier_3,256,PIPEDA,8,512,research_center,0.997,high,50000
18,mobile_unit_018,1000,tier_1,8,HIPAA,1,32,mobile_unit,0.86,standard,2000
19,edge_device_019,50,tier_2,2,HIPAA,0,8,edge_device,0.708,high,1000
