node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,local,4,128,tier1_hospital,0.977,high,10000
1,clinic_001,1000,tier_2,64,PIPEDA,8,256,tier2_hospital,0.947,standard,10000
2,research_center_002,5000,tier_3,64,GDPR,32,1024,research_center,0.982,standard,20000
3,mobile_unit_003,100,tier_1,4,local,2,64,mobile_unit,0.818,high,1000
4,edge_device_004,500,tier_2,4,PIPEDA,1,8,edge_device,0.794,critical,500
5,hospital_005,10000,tier_1,128,GDPR,16,256,tier1_hospital,0.952,high,50000
6,clinic_006,5000,tier_2,16,local,8,64,tier2_hospital,0.928,critical,5000
7,research_center_007,10000,tier_3,64,local,16,1024,research_center,0.997,standard,100000
8,mobile_unit_008,100,tier_1,16,local,2,32,mobile_unit,0.836,critical,2000
9,edge_device_009,500,tier_2,8,PIPEDA,0,16,edge_device,0.798,high,1000
