node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.01227,-92.480621,north_america,America/Chicago
1,Baltimore,USA,39.325553,-76.650323,europe,America/New_York
2,Palo Alto,USA,37.430362,-122.180873,asia_pacific,America/Los_Angeles
3,Boston,USA,42.359626,-71.108675,south_america,America/New_York
4,Los Angeles,USA,34.077334,-118.245807,africa,America/Los_Angeles
5,London,UK,51.478772,-0.152773,north_america,Europe/London
6,Paris,France,48.828372,2.371581,europe,Europe/Paris
7,Tokyo,Japan,35.66862,139.604314,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.373098,103.829254,south_america,Asia/Singapore
9,Sydney,Australia,-33.862496,151.163224,africa,Australia/Sydney
