edge,weight
0-1,5704.98
0-2,4450.57
0-3,2116.41
0-4,107.49
0-5,531.01
0-6,4404.89
0-7,1130.33
0-8,481.17
0-9,1064.64
1-2,4233.05
1-3,4022.16
1-4,2265.93
1-5,2219.26
1-6,113.0
1-7,97.16
1-8,1034.19
1-9,1887.58
2-3,2044.97
2-4,435.65
2-5,479.31
2-6,85.7
2-7,2352.08
2-8,88.07
2-9,543.65
3-4,83.4
3-5,914.01
3-6,2249.13
3-7,2010.33
3-8,119.22
3-9,89.29
4-5,577.59
4-6,1920.6
4-7,117.15
4-8,111.71
4-9,107.54
5-6,110.57
5-7,5627.47
5-8,5560.93
5-9,452.65
6-7,405.36
6-8,113.69
6-9,1676.67
7-8,825.1
7-9,546.7
8-9,5628.43
