round_num,node_0,node_1,node_2,node_3,node_4
1,3.3281335830688477,3.291472911834717,3.3253912925720215,3.311699151992798,3.3646316528320312
2,3.355924129486084,3.325125217437744,3.3074581623077393,3.3370087146759033,3.333101987838745
3,3.355756998062134,3.3191444873809814,3.3181707859039307,3.327768564224243,3.3370907306671143
4,3.345440626144409,3.3333585262298584,3.3185276985168457,3.3525984287261963,3.3115737438201904
5,3.3483850955963135,3.3281383514404297,3.340877056121826,3.348062515258789,3.332232713699341
6,3.3515267372131348,3.3516151905059814,3.3416764736175537,3.352698564529419,3.33201003074646
7,3.3768203258514404,3.3534555435180664,3.347200393676758,3.345580577850342,3.3421266078948975
8,3.3511829376220703,3.362403631210327,3.3463258743286133,3.3408923149108887,3.348081350326538
9,3.3863210678100586,3.364652633666992,3.351766347885132,3.354407787322998,3.3480539321899414
10,3.3613836765289307,3.375114679336548,3.3630661964416504,3.361640453338623,3.3734140396118164
