round_num,node_0,node_1,node_2,node_3,node_4
1,3.3255820274353027,3.3255820274353027,3.3255820274353027,5.333637237548828,3.3255820274353027
2,3.612121105194092,3.7143797874450684,3.821852684020996,6.085304260253906,3.6644070148468018
3,6.062617778778076,4.287611961364746,4.42329740524292,4.511014938354492,4.202044486999512
4,4.779106140136719,4.472121238708496,5.461391448974609,4.524438858032227,4.528362274169922
5,4.684426307678223,4.659700393676758,4.701754570007324,6.129968166351318,4.641983509063721
6,4.965394020080566,6.201638221740723,5.134536266326904,5.194998741149902,5.0028300285339355
7,5.251866817474365,5.338134288787842,5.976193428039551,5.206839084625244,5.211472988128662
8,6.933794975280762,5.358593940734863,5.363783359527588,5.294585704803467,5.314961910247803
9,5.738423824310303,6.73557710647583,5.457718372344971,5.470407962799072,5.510677337646484
10,5.781893730163574,5.797672748565674,6.460010528564453,5.649909496307373,5.691497325897217
