edge,weight
0-1,464.27
0-2,1012.97
0-3,95.92
0-4,828.3
0-5,110.12
0-6,5963.88
0-7,2250.79
0-8,501.47
0-9,517.18
0-10,87.39
0-11,552.08
0-12,1140.16
0-13,5993.8
0-14,1865.1
1-2,91.66
1-3,877.33
1-4,1125.41
1-5,4023.06
1-6,403.0
1-7,951.82
1-8,4983.83
1-9,81.12
1-10,1034.29
1-11,1877.27
1-12,119.75
1-13,4640.85
1-14,5147.72
2-3,537.89
2-4,5555.39
2-5,1077.03
2-6,400.26
2-7,918.56
2-8,479.41
2-9,523.66
2-10,1951.88
2-11,1195.76
2-12,2275.77
2-13,2176.8
2-14,117.3
3-4,2029.62
3-5,860.45
3-6,81.69
3-7,96.11
3-8,870.18
3-9,493.05
3-10,1798.85
3-11,1769.98
3-12,422.05
3-13,556.33
3-14,5464.95
4-5,5059.85
4-6,5110.67
4-7,1875.05
4-8,2040.22
4-9,90.93
4-10,1015.11
4-11,2264.82
4-12,5031.92
4-13,1168.34
4-14,1813.41
5-6,1925.23
5-7,5563.32
5-8,1151.6
5-9,967.66
5-10,412.45
5-11,83.76
5-12,988.39
5-13,2353.53
5-14,5699.41
6-7,505.79
6-8,526.08
6-9,5624.04
6-10,4965.32
6-11,94.77
6-12,851.96
6-13,1130.51
6-14,89.78
7-8,5705.23
7-9,2375.78
7-10,5725.9
7-11,93.57
7-12,419.87
7-13,919.72
7-14,477.67
8-9,1697.11
8-10,110.0
8-11,564.08
8-12,84.53
8-13,2268.29
8-14,85.88
9-10,1834.97
9-11,114.75
9-12,804.91
9-13,1053.05
9-14,90.0
10-11,103.04
10-12,428.37
10-13,99.55
10-14,2227.62
11-12,1196.46
11-13,1681.34
11-14,117.39
12-13,1036.15
12-14,89.29
13-14,1981.87
