node_id,latitude,longitude
0,44.050915,-92.51261
1,39.262345,-76.660276
2,37.46827,-122.175617
3,42.386996,-71.087762
4,34.050713,-118.216664
5,51.534137,-0.101614
6,48.865498,2.313812
7,35.684575,139.623227
8,1.396248,103.792461
9,-33.840528,151.223091
10,44.041667,-92.444447
11,39.276608,-76.6571
12,37.414545,-122.161556
13,42.354595,-71.055463
14,34.101418,-118.228121
15,51.484767,-0.169721
16,48.880297,2.321822
17,35.653211,139.699083
18,1.385457,103.801481
19,-33.905236,151.252748
