node_id,latitude,longitude
0,44.060576,-92.453522
1,39.339289,-76.565262
2,37.489368,-122.16582
3,42.385537,-71.077045
4,34.069887,-118.266209
5,51.460712,-0.162057
6,48.858765,2.345832
7,35.713912,139.690256
8,1.398616,103.789739
9,-33.91262,151.164133
10,43.994191,-92.497426
11,39.291261,-76.58157
12,37.397316,-122.170032
13,42.380298,-71.067403
14,34.01898,-118.273849
15,51.462889,-0.109965
16,48.816326,2.366042
17,35.713932,139.663854
18,1.32624,103.858882
19,-33.871283,151.253888
