node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,GDPR,16,128,tier1_hospital,0.97,critical,50000
1,clinic_001,5000,tier_2,16,HIPAA,2,256,tier2_hospital,0.938,critical,5000
2,research_center_002,10000,tier_3,128,GDPR,32,256,research_center,0.994,standard,100000
3,mobile_unit_003,500,tier_1,8,GDPR,2,64,mobile_unit,0.875,critical,2000
4,edge_device_004,100,tier_2,8,local,0,16,edge_device,0.782,high,500
5,hospital_005,2000,tier_1,128,GDPR,4,128,tier1_hospital,0.974,high,10000
6,clinic_006,1000,tier_2,16,HIPAA,4,256,tier2_hospital,0.902,critical,10000
7,research_center_007,20000,tier_3,64,PIPEDA,8,1024,research_center,0.991,high,20000
8,mobile_unit_008,1000,tier_1,8,GDPR,1,16,mobile_unit,0.81,high,1000
9,edge_device_009,100,tier_2,8,local,1,32,edge_device,0.71,standard,500
10,hospital_010,5000,tier_1,32,PIPEDA,4,128,tier1_hospital,0.986,critical,10000
11,clinic_011,5000,tier_2,16,local,4,128,tier2_hospital,0.944,critical,10000
12,research_center_012,20000,tier_3,256,GDPR,16,1024,research_center,0.994,critical,100000
13,mobile_unit_013,100,tier_1,16,HIPAA,1,64,mobile_unit,0.847,standard,1000
14,edge_device_014,500,tier_2,4,PIPEDA,0,8,edge_device,0.747,critical,2000
