node_id,latitude,longitude
0,43.982055,-92.455432
1,39.268137,-76.572186
2,37.423631,-122.166083
3,42.340651,-71.041698
4,34.099022,-118.282552
5,51.530991,-0.128627
6,48.832728,2.334242
7,35.694879,139.628863
8,1.367167,103.794696
9,-33.846746,151.171348
10,43.994267,-92.49807
11,39.256558,-76.648971
12,37.428106,-122.100203
13,42.402478,-71.107312
14,34.077385,-118.285504
15,51.496317,-0.084399
16,48.832124,2.324147
17,35.709399,139.61862
18,1.303296,103.86174
19,-33.88574,151.236609
