edge,weight
0-1,5993.54
0-2,1178.39
0-3,5749.15
0-4,982.7
0-5,426.78
0-6,5743.26
0-7,100.22
0-8,1165.18
0-9,1736.05
1-2,5939.6
1-3,1789.32
1-4,4050.44
1-5,88.46
1-6,1020.6
1-7,5029.94
1-8,2192.81
1-9,1751.75
2-3,1824.15
2-4,2232.59
2-5,89.6
2-6,2011.82
2-7,119.04
2-8,2376.38
2-9,1752.52
3-4,492.9
3-5,1113.59
3-6,487.44
3-7,110.86
3-8,2239.75
3-9,91.55
4-5,118.71
4-6,97.47
4-7,109.38
4-8,119.51
4-9,2300.94
5-6,5354.55
5-7,90.45
5-8,1906.78
5-9,2324.95
6-7,95.31
6-8,96.24
6-9,926.0
7-8,4478.59
7-9,886.27
8-9,463.04
