node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,HIPAA,8,256,tier1_hospital,0.997,critical,20000
1,clinic_001,1000,tier_2,16,PIPEDA,8,128,tier2_hospital,0.977,standard,5000
2,research_center_002,5000,tier_3,256,GDPR,8,256,research_center,0.99,standard,100000
3,mobile_unit_003,1000,tier_1,16,GDPR,2,32,mobile_unit,0.798,standard,5000
4,edge_device_004,50,tier_2,2,GDPR,1,16,edge_device,0.803,high,2000
5,hospital_005,5000,tier_1,64,local,16,256,tier1_hospital,0.963,high,10000
6,clinic_006,5000,tier_2,16,PIPEDA,4,256,tier2_hospital,0.946,critical,5000
7,research_center_007,20000,tier_3,128,PIPEDA,8,1024,research_center,0.992,high,100000
8,mobile_unit_008,500,tier_1,16,PIPEDA,2,64,mobile_unit,0.881,critical,5000
9,edge_device_009,100,tier_2,4,HIPAA,0,32,edge_device,0.881,critical,1000
10,hospital_010,5000,tier_1,128,GDPR,16,128,tier1_hospital,0.989,high,10000
11,clinic_011,2000,tier_2,64,PIPEDA,4,128,tier2_hospital,0.955,high,20000
12,research_center_012,20000,tier_3,64,local,32,512,research_center,0.999,high,50000
13,mobile_unit_013,1000,tier_1,8,local,1,32,mobile_unit,0.898,high,1000
14,edge_device_014,100,tier_2,8,local,0,8,edge_device,0.786,high,500
