node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,national,SOC2,Rochester,USA,radiology,1960,public,mayo_clinic,tier1_hospital,north_america,2935,America/Chicago
1,international,FedRAMP,Baltimore,USA,oncology,1976,mixed,johns_hopkins,tier2_hospital,europe,2866,America/New_York
2,national,FedRAMP,Palo Alto,USA,cardiology,2007,private,stanford_med,research_center,asia_pacific,397,America/Los_Angeles
3,national,FedRAMP,Boston,USA,neurology,2018,mixed,mass_general,mobile_unit,south_america,4918,America/New_York
4,local,SOC2,Los Angeles,USA,pathology,1978,public,ucla_health,edge_device,africa,1538,America/Los_Angeles
5,regional,SOC2,London,UK,radiology,1968,public,mayo_clinic,tier1_hospital,north_america,4675,Europe/London
6,national,ISO27001,Paris,France,oncology,1974,mixed,johns_hopkins,tier2_hospital,europe,1266,Europe/Paris
7,regional,SOC2,Tokyo,Japan,cardiology,1979,public,stanford_med,research_center,asia_pacific,1558,Asia/Tokyo
8,local,ISO27001,Singapore,Singapore,neurology,1975,mixed,mass_general,mobile_unit,south_america,2789,Asia/Singapore
9,regional,SOC2,Sydney,Australia,pathology,1991,private,ucla_health,edge_device,africa,1273,Australia/Sydney
10,international,ISO27001,Rochester,USA,radiology,1975,mixed,mayo_clinic,tier1_hospital,north_america,1868,America/Chicago
11,international,FedRAMP,Baltimore,USA,oncology,1993,public,johns_hopkins,tier2_hospital,europe,600,America/New_York
12,national,ISO27001,Palo Alto,USA,cardiology,2013,private,stanford_med,research_center,asia_pacific,2528,America/Los_Angeles
13,national,ISO27001,Boston,USA,neurology,1971,mixed,mass_general,mobile_unit,south_america,3469,America/New_York
14,international,ISO27001,Los Angeles,USA,pathology,1966,public,ucla_health,edge_device,africa,3078,America/Los_Angeles
15,local,FedRAMP,London,UK,radiology,1975,mixed,mayo_clinic,tier1_hospital,north_america,4237,Europe/London
16,regional,ISO27001,Paris,France,oncology,1993,mixed,johns_hopkins,tier2_hospital,europe,4881,Europe/Paris
17,regional,ISO27001,Tokyo,Japan,cardiology,1964,mixed,stanford_med,research_center,asia_pacific,353,Asia/Tokyo
18,regional,ISO27001,Singapore,Singapore,neurology,1978,mixed,mass_general,mobile_unit,south_america,918,Asia/Singapore
19,local,SOC2,Sydney,Australia,pathology,1994,research_grant,ucla_health,edge_device,africa,2555,Australia/Sydney
