round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
1,3.27781081199646,3.27781081199646,3.27781081199646,3.3276920318603516,3.27781081199646,3.3315930366516113,3.27781081199646,3.27781081199646,3.27781081199646,3.27781081199646
2,3.27781081199646,3.312559127807617,3.292714834213257,3.296569585800171,3.292753219604492,3.2964370250701904,3.2839224338531494,3.2793288230895996,3.278113603591919,3.299596071243286
3,3.28619647026062,3.293593406677246,3.321289300918579,3.2921836376190186,3.2922492027282715,3.290571451187134,3.2854044437408447,3.280177116394043,3.292843818664551,3.2820048332214355
4,3.287524461746216,3.3044066429138184,3.291933298110962,3.291384220123291,3.290869951248169,3.288858652114868,3.2855565547943115,3.2758917808532715,3.2703018188476562,3.2748172283172607
5,3.2886712551116943,3.2944047451019287,3.3016440868377686,3.290586471557617,3.289874315261841,3.2880539894104004,3.317293167114258,3.2670695781707764,3.2669570446014404,3.2682504653930664
6,3.2856717109680176,3.2908475399017334,3.2898740768432617,3.289945363998413,3.3058671951293945,3.2906885147094727,3.2984395027160645,3.268991470336914,3.266618013381958,3.2687013149261475
7,3.287893533706665,3.298887014389038,3.2874910831451416,3.288790225982666,3.2890920639038086,3.2881245613098145,3.283982276916504,3.2693488597869873,3.2669131755828857,3.26958966255188
8,3.2787907123565674,3.2862093448638916,3.2812929153442383,3.2878901958465576,3.2871146202087402,3.2854599952697754,3.279996871948242,3.2695152759552,3.267486095428467,3.2841827869415283
9,3.2808313369750977,3.2991881370544434,3.282109260559082,3.2864599227905273,3.299379587173462,3.28332257270813,3.2782208919525146,3.2698705196380615,3.269732713699341,3.272812843322754
10,3.2840914726257324,3.288773775100708,3.28413462638855,3.2885634899139404,3.303623676300049,3.2826144695281982,3.2775981426239014,3.3020431995391846,3.2702434062957764,3.273120403289795
