edge,weight
0-1,855.71
0-2,1049.68
0-3,1793.36
0-4,1933.82
0-5,5620.43
0-6,2304.48
0-7,429.75
0-8,94.35
0-9,1878.19
0-10,1676.66
0-11,421.78
0-12,1176.24
0-13,1111.21
0-14,2197.26
1-2,93.79
1-3,109.34
1-4,85.28
1-5,466.91
1-6,2310.15
1-7,104.03
1-8,970.4
1-9,1731.09
1-10,4068.9
1-11,1825.62
1-12,803.39
1-13,4032.84
1-14,95.21
2-3,451.41
2-4,479.98
2-5,1646.55
2-6,4481.62
2-7,85.1
2-8,597.95
2-9,978.82
2-10,499.45
2-11,1115.87
2-12,114.1
2-13,112.91
2-14,919.53
3-4,860.55
3-5,943.92
3-6,5292.14
3-7,486.43
3-8,470.53
3-9,87.51
3-10,5162.09
3-11,859.78
3-12,1679.36
3-13,1053.95
3-14,4920.74
4-5,978.11
4-6,499.38
4-7,1171.45
4-8,2228.58
4-9,1077.19
4-10,4549.34
4-11,4325.67
4-12,1721.63
4-13,118.6
4-14,452.64
5-6,4870.87
5-7,5343.8
5-8,4757.15
5-9,595.5
5-10,540.06
5-11,112.92
5-12,2047.63
5-13,4131.73
5-14,4939.1
6-7,941.16
6-8,509.03
6-9,83.61
6-10,1845.2
6-11,5057.91
6-12,4454.5
6-13,885.77
6-14,1923.76
7-8,105.79
7-9,1609.84
7-10,1715.04
7-11,4703.7
7-12,456.97
7-13,480.91
7-14,117.0
8-9,492.02
8-10,104.46
8-11,457.41
8-12,87.75
8-13,90.48
8-14,90.75
9-10,1872.29
9-11,5913.66
9-12,2219.4
9-13,1108.69
9-14,587.3
10-11,1821.38
10-12,502.3
10-13,5215.31
10-14,998.33
11-12,828.05
11-13,537.54
11-14,1166.37
12-13,117.62
12-14,5962.97
13-14,2228.24
