edge,weight
0-1,911.77
0-2,95.79
0-3,887.47
0-4,546.99
0-5,839.9
0-6,4795.39
0-7,104.23
0-8,505.93
0-9,97.9
1-2,114.2
1-3,4614.16
1-4,2272.99
1-5,108.91
1-6,1109.54
1-7,5863.03
1-8,105.73
1-9,5786.5
2-3,1614.92
2-4,2215.64
2-5,5918.02
2-6,99.63
2-7,995.44
2-8,2116.88
2-9,2366.06
3-4,944.94
3-5,93.85
3-6,1944.14
3-7,562.48
3-8,5044.32
3-9,100.85
4-5,101.31
4-6,87.09
4-7,2232.0
4-8,1140.16
4-9,860.49
5-6,4092.31
5-7,5773.61
5-8,88.4
5-9,4622.58
6-7,104.23
6-8,460.63
6-9,105.24
7-8,4611.82
7-9,110.12
8-9,1030.64
