node_id,latitude,longitude
0,43.973388,-92.502598
1,39.319081,-76.59749
2,37.43047,-122.157017
3,42.399866,-71.028068
4,34.077463,-118.198456
5,51.529289,-0.095297
6,48.844099,2.358681
7,35.690826,139.614546
8,1.386809,103.773775
9,-33.862826,151.174316
10,44.053634,-92.470476
11,39.322026,-76.610777
12,37.431553,-122.189241
13,42.346123,-71.063876
14,34.029025,-118.284995
15,51.482437,-0.113474
16,48.819233,2.339934
17,35.647046,139.670338
18,1.306466,103.85074
19,-33.840194,151.244511
