edge,weight
0-1,493.42
0-2,578.73
0-3,428.07
0-4,827.37
0-5,1692.63
0-6,5694.79
0-7,503.86
0-8,1060.62
0-9,90.74
1-2,4967.16
1-3,5179.78
1-4,593.43
1-5,90.69
1-6,1823.16
1-7,1686.89
1-8,5185.07
1-9,450.77
2-3,111.06
2-4,82.92
2-5,1772.57
2-6,4530.57
2-7,1986.77
2-8,1708.56
2-9,849.76
3-4,88.68
3-5,511.47
3-6,2062.88
3-7,598.96
3-8,5331.91
3-9,1187.08
4-5,5504.8
4-6,1067.73
4-7,116.66
4-8,80.15
4-9,105.62
5-6,460.37
5-7,5120.11
5-8,82.72
5-9,89.19
6-7,5067.86
6-8,2177.51
6-9,506.0
7-8,2209.66
7-9,559.1
8-9,4601.78
