node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,local,8,512,tier1_hospital,0.968,standard,20000
1,clinic_001,5000,tier_2,64,PIPEDA,4,64,tier2_hospital,0.926,high,20000
2,research_center_002,20000,tier_3,128,local,32,256,research_center,0.983,standard,100000
3,mobile_unit_003,100,tier_1,8,local,2,16,mobile_unit,0.857,critical,5000
4,edge_device_004,100,tier_2,2,PIPEDA,1,8,edge_device,0.877,critical,1000
5,hospital_005,5000,tier_1,128,HIPAA,8,256,tier1_hospital,1.0,critical,10000
6,clinic_006,2000,tier_2,64,HIPAA,8,256,tier2_hospital,0.916,critical,20000
7,research_center_007,20000,tier_3,128,local,8,512,research_center,0.981,critical,100000
8,mobile_unit_008,1000,tier_1,4,local,1,16,mobile_unit,0.782,critical,2000
9,edge_device_009,50,tier_2,2,HIPAA,0,16,edge_device,0.767,critical,500
