timestamp,round_num,source_node,target_node,transfer_type,param_summary,strategy_name
1753370197.4878302,1,1,0,parameter_transfer,"{'norm': 3.1671946048736572, 'mean': 0.0007006560917943716, 'std': 0.1077478677034378}",
1753370197.4878302,1,2,0,parameter_transfer,"{'norm': 3.178706169128418, 'mean': 0.0010132146999239922, 'std': 0.10813704133033752}",
1753370197.4878302,1,3,0,parameter_transfer,"{'norm': 3.1671946048736572, 'mean': 0.0007006560917943716, 'std': 0.1077478677034378}",
1753370197.4878302,1,4,0,parameter_transfer,"{'norm': 3.1671946048736572, 'mean': 0.0007006560917943716, 'std': 0.1077478677034378}",
1753370197.4879556,1,1,0,aggregation,,FedAvg
1753370197.4879556,1,2,0,aggregation,,FedAvg
1753370197.4879556,1,3,0,aggregation,,FedAvg
1753370197.4879556,1,4,0,aggregation,,FedAvg
1753370229.8809595,2,1,0,parameter_transfer,"{'norm': 3.1655633449554443, 'mean': 0.0007459212793037295, 'std': 0.10769207030534744}",
1753370229.8809595,2,2,0,parameter_transfer,"{'norm': 3.1655633449554443, 'mean': 0.0007459212793037295, 'std': 0.10769207030534744}",
1753370229.8809595,2,3,0,parameter_transfer,"{'norm': 3.1655633449554443, 'mean': 0.0007459212793037295, 'std': 0.10769207030534744}",
1753370229.8809595,2,4,0,parameter_transfer,"{'norm': 3.1655633449554443, 'mean': 0.0007459212793037295, 'std': 0.10769207030534744}",
1753370229.8810759,2,1,0,aggregation,,FedAvg
1753370229.8810759,2,2,0,aggregation,,FedAvg
1753370229.8810759,2,3,0,aggregation,,FedAvg
1753370229.8810759,2,4,0,aggregation,,FedAvg
1753370262.5476482,3,1,0,parameter_transfer,"{'norm': 3.1718554496765137, 'mean': 0.000851389835588634, 'std': 0.10790535807609558}",
1753370262.5476482,3,2,0,parameter_transfer,"{'norm': 3.1718554496765137, 'mean': 0.000851389835588634, 'std': 0.10790535807609558}",
1753370262.5476482,3,3,0,parameter_transfer,"{'norm': 3.1718554496765137, 'mean': 0.000851389835588634, 'std': 0.10790535807609558}",
1753370262.5476482,3,4,0,parameter_transfer,"{'norm': 3.2203760147094727, 'mean': -0.0001699213171377778, 'std': 0.10955928266048431}",
1753370262.5477574,3,1,0,aggregation,,FedAvg
1753370262.5477574,3,2,0,aggregation,,FedAvg
1753370262.5477574,3,3,0,aggregation,,FedAvg
1753370262.5477574,3,4,0,aggregation,,FedAvg
1753370270.6783073,4,1,0,parameter_transfer,"{'norm': 3.1759979724884033, 'mean': 0.0006404287414625287, 'std': 0.10804774612188339}",
1753370270.6783073,4,2,0,parameter_transfer,"{'norm': 3.1759979724884033, 'mean': 0.0006404287414625287, 'std': 0.10804774612188339}",
1753370270.6783073,4,3,0,parameter_transfer,"{'norm': 3.1759979724884033, 'mean': 0.0006404287414625287, 'std': 0.10804774612188339}",
1753370270.6783073,4,4,0,parameter_transfer,"{'norm': 3.1759979724884033, 'mean': 0.0006404287414625287, 'std': 0.10804774612188339}",
1753370270.6784537,4,1,0,aggregation,,FedAvg
1753370270.6784537,4,2,0,aggregation,,FedAvg
1753370270.6784537,4,3,0,aggregation,,FedAvg
1753370270.6784537,4,4,0,aggregation,,FedAvg
1753370277.2047198,5,1,0,parameter_transfer,"{'norm': 3.1775004863739014, 'mean': 0.0006631822907365859, 'std': 0.10809873044490814}",
1753370277.2047198,5,2,0,parameter_transfer,"{'norm': 3.1968910694122314, 'mean': 0.0005028505111113191, 'std': 0.10875928401947021}",
1753370277.2047198,5,3,0,parameter_transfer,"{'norm': 3.1775004863739014, 'mean': 0.0006631822907365859, 'std': 0.10809873044490814}",
1753370277.2047198,5,4,0,parameter_transfer,"{'norm': 3.1775004863739014, 'mean': 0.0006631822907365859, 'std': 0.10809873044490814}",
1753370277.204831,5,1,0,aggregation,,FedAvg
1753370277.204831,5,2,0,aggregation,,FedAvg
1753370277.204831,5,3,0,aggregation,,FedAvg
1753370277.204831,5,4,0,aggregation,,FedAvg
1753370309.8136866,6,1,0,parameter_transfer,"{'norm': 3.2148256301879883, 'mean': 0.00032594503136351705, 'std': 0.10937009751796722}",
1753370309.8136866,6,2,0,parameter_transfer,"{'norm': 3.179278612136841, 'mean': 0.0006399625563062727, 'std': 0.1081593707203865}",
