round_num,node_0,node_1,node_2,node_3,node_4
1,3.1671946048736572,3.1671946048736572,3.178706169128418,3.1671946048736572,3.1671946048736572
2,3.222717761993408,3.1655633449554443,3.1655633449554443,3.1655633449554443,3.1655633449554443
3,3.1718554496765137,3.1718554496765137,3.1718554496765137,3.1718554496765137,3.2203760147094727
4,3.1915783882141113,3.1759979724884033,3.1759979724884033,3.1759979724884033,3.1759979724884033
5,3.1775004863739014,3.1775004863739014,3.1968910694122314,3.1775004863739014,3.1775004863739014
6,3.179278612136841,3.2148256301879883,3.179278612136841,3.179278612136841,3.179278612136841
7,3.2064297199249268,3.1808178424835205,3.1808178424835205,3.1808178424835205,3.1808178424835205
8,3.184278964996338,3.194871425628662,3.184278964996338,3.184278964996338,3.184278964996338
9,3.1844630241394043,3.190878391265869,3.1844630241394043,3.1844630241394043,3.1844630241394043
10,3.183805465698242,3.183805465698242,3.183805465698242,3.2119343280792236,3.183805465698242
